nome_datacenter;operadora;endereco;cep;cidade;estado;pais;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status
ASAP SP1;ASAP Telecom;Av. das Nações Unidas, 22540;04795000;São Paulo;SP;Brazil;-23.6761714;-46.6992381;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/asap-sp1/;2.0;2.0;400.0;400.0;2022.0;Retrofitted;Multi-tenant (mixed use);500.0;2N;1.0;1.0;1.0;3.0;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;0.0;1.0;0.0;1.0;0;0;13;9;0;SP1;2732.0;ok;ok
Ascenty - Campinas CPS1;Ascenty Data Centers;Avenida Pierre Simon de Laplace, 1211;13069-320;Campinas;;Brazil;-22.848037;-47.153369;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/campinas/ascenty/;6.0;6.0;4998.0;4998.0;;;;1200.0;;1.0;1.0;1.0;3.0;;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;35;1;1;CPS01;2812.0;ok;ok
Ascenty - Hortolandia HTL4;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;Hortolândia;;Brazil;-22.8948579;-47.1789044;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-htl04/;3.0;3.0;1997.0;1997.0;2021.0;Retrofitted;;2520.0;N+1;1.0;1.0;1.0;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL04;11686.0;ok;ok
Ascenty - Hortolandia HTL5;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;Hortolândia;;Brazil;-22.8958925;-47.1801919;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-htl05/;30.0;30.0;22984.0;22984.0;2022.0;Purpose-built;;2520.0;N+1;1.0;1.0;1.0;;;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL05;11687.0;ok;ok
Ascenty - Jundiai JDI1;Ascenty Data Centers;Rua Presbítero Plínio Alves de Souza, 757;13212-181;Jundiaí;Jundiaí;Brazil;-23.1919541;-46.9742117;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai1/;15.0;15.0;7990.0;7990.0;2014.0;Purpose-built;;1200.0;;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;11;0;0;JDI01;7582.0;ok;ok
Ascenty - Jundiai JDI2;Ascenty Data Centers;Av. Beirute, 863;13212-181;Jundiaí;Jundiaí;Brazil;-23.1924667;-46.9729886;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai2/;13.0;13.0;8993.0;8993.0;2019.0;Purpose-built;Sole-tenant;1.526;N+2;1.0;1.0;1.0;3.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;2;0;0;JDI02;7583.0;ok;ok
Ascenty - Sao Paulo SP5;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;Osasco;;Brazil;-23.4892381;-46.7757703;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp5/;8.0;8.0;7000.0;7000.0;2026.0;Retrofitted;;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0;0;0;1;0;SP05;;ok;ok
Ascenty - Sao Paulo SP4;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06276-016;Osasco;;Brazil;-23.4898885;-46.7752556;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sp4/;9.0;9.0;7497.0;7497.0;2023.0;Purpose-built;Sole-tenant;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;;1.0;;1.0;;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0;0;89;1;1;SP04;13720.0;ok;ok
Ascenty - Vinhedo VIN2;Ascenty Data Centers;Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani;13288-162;Vinhedo;;Brazil;-23.0703237;-47.0129472;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-vin02/;34.0;34.0;24991.0;24991.0;;Purpose-built;;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;1;34;2;1;VIN02;7590.0;ok;ok
Sonda Ativas;Sonda S.A.;Agenério de Araújo st. , 20 Camargos;30140090;Belo Horizonte;MG;Brazil;-19.942833;-44.011552;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/belo-horizonte/ativas-datacenter-sa/;2.5;2.5;6000.0;6000.0;2011.0;;;;;;;;3.0;3.0;1.0;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;0.0;1.0;1.0;0;0;16;0;0;;1775.0;ok;ok
Ascenty - Vinhedo VIN1;Ascenty Data Centers;Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani;13288-162;Vinhedo;;Brazil;-23.0700044;-47.0118244;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/;27.0;27.0;20987.0;20987.0;;Purpose-built;;1526.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;22;1;1;VIN01;7589.0;ok;ok
