name_datacenter,ano,classe,percentual,ano_operacional_referencia
ODATA SP01,2016,Vegetação densa,1.89,
ODATA SP01,2016,Grama,71.38,
ODATA SP01,2016,Solo exposto,1.57,
ODATA SP01,2016,Construção,25.16,
ODATA SP01,2017,Vegetação densa,0.31,
ODATA SP01,2017,Grama,66.87,
ODATA SP01,2017,Solo exposto,0.0,
ODATA SP01,2017,Construção,32.82,
ODATA SP01,2018,Vegetação densa,0.31,
ODATA SP01,2018,Grama,68.73,
ODATA SP01,2018,Solo exposto,0.31,
ODATA SP01,2018,Construção,30.65,
ODATA SP01,2019,Vegetação densa,0.62,
ODATA SP01,2019,Grama,68.11,
ODATA SP01,2019,Solo exposto,1.24,
ODATA SP01,2019,Construção,30.03,
ODATA SP01,2020,Vegetação densa,1.86,
ODATA SP01,2020,Grama,64.71,
ODATA SP01,2020,Solo exposto,1.24,
ODATA SP01,2020,Construção,32.2,
ODATA SP01,2021,Vegetação densa,1.24,
ODATA SP01,2021,Grama,63.16,
ODATA SP01,2021,Solo exposto,2.79,
ODATA SP01,2021,Construção,32.82,
ODATA SP01,2022,Vegetação densa,2.17,
ODATA SP01,2022,Grama,68.42,
ODATA SP01,2022,Solo exposto,1.55,
ODATA SP01,2022,Construção,27.86,
ODATA SP01,2023,Vegetação densa,0.93,
ODATA SP01,2023,Grama,65.63,
ODATA SP01,2023,Solo exposto,2.48,
ODATA SP01,2023,Construção,30.96,
ODATA SP01,2024,Vegetação densa,0.62,
ODATA SP01,2024,Grama,53.87,
ODATA SP01,2024,Solo exposto,4.64,
ODATA SP01,2024,Construção,40.87,
ODATA SP01,2025,Vegetação densa,2.48,
ODATA SP01,2025,Grama,55.73,
ODATA SP01,2025,Solo exposto,5.88,
ODATA SP01,2025,Construção,35.91,
ODATA SP01,2026,Vegetação densa,0.93,
ODATA SP01,2026,Grama,58.2,
ODATA SP01,2026,Solo exposto,2.79,
ODATA SP01,2026,Construção,38.08,
