nome_datacenter;operadora;endereco;cep;link_datacenter
Constel Cascavel Centro;Constel Tecnologia;Rua Minas Gerais, 1932 - Centro;85812-030;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-minas/
Constel Cascavel Country;Constel Tecnologia;Rua Pará, 812 - Country;85813-060;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-para/
Contato Data Center;Contato Data Center;Rua Doutor Américo Cavalcante Rabello, 241;88901052;https://www.datacentermap.com/brazil/ararangu/contato-cloud/
Convex IDC Ribeirão Preto;Convex Internet Solutions;R. Bernardino de Campos, 1001;14015-130;https://www.datacentermap.com/brazil/ribeirao-preto/convex-idc-rpo/
COPE-P Brasilia;Telebras;St. de Habitações Individuais Sul;70200-001;https://www.datacentermap.com/brazil/brasilia/cope-p/
COPE-S Rio de Janeiro;Telebras;Rua Américo Goulart - Cacuia;21930-700;https://www.datacentermap.com/brazil/rio-de-janeiro/cope-s/
CWB-HN 01;Hosting Now;Rua Brasílio Itiberê 2217;80230050;https://www.datacentermap.com/brazil/curitiba/cwbhn-01/
Locaweb Data Center Itapaiuna;Locaweb S/A;Rua Itapaiuna, 2434;05707-001;https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-itapaiuna/
Locaweb Data Center JK;Locaweb S/A;Av. Presidente Juscelino Kubitscheck, 1830 1º Andar;04543-900;https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-jk/
Avato Santa Maria;Ávato;Av. Fernando Ferrari, 1280 - Nossa Sra. de Lourdes;97050-800;https://www.datacentermap.com/brazil/santa-maria/dc-coracao-do-rio-grande/
Ultranet Telecom DC Fortaleza;Ultranet Telecom;Av. Santos Dumont, 2122;60150-161;https://www.datacentermap.com/brazil/fortaleza/dc-ultranet-telecom/
Ultranet Telecom DC Centro;Ultranet Telecom;Av. Pres. Vargas, 3131;20210-030;https://www.datacentermap.com/brazil/rio-de-janeiro/dc-ultranet-telecom1/
DSI - PAE-A01;DSI Internet;R. Mostardeiro, 265 - Rio Branco;90430001;https://www.datacentermap.com/brazil/porto-alegre/dsi-pae-a01/
Edge Connection - CPS01;Edge Connection;Rua Angelo Sellin, 401;13098422;https://www.datacentermap.com/brazil/campinas/edge-connection--cps01/
Elea BSB1;Elea Data Centers;Scn Q 3;70297;https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb1/
Elea BSB2;Elea Data Centers;Sig Q 2;70610;https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb2/
Elea CTA1;Elea Data Centers;Tv. Teixeira de Freitas 73;80410;https://www.datacentermap.com/brazil/curitiba/elea-digital-cta1/
Elea POA1;Elea Data Centers;Rua Engenheiro Afonso Cavalcanti 100;90440;https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa1/
Elea POA2;Elea Data Centers;R. Voluntários da Pátria 1555;90030;https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa2/
Elea RJO1;Elea Data Centers;R. Vargem Grande 100;22775;https://www.datacentermap.com/brazil/rio-de-janeiro/elea-digital-rjo1/
Elea SPO1;Elea Data Centers;Av. Guido Caloi 1000;05802;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo1/
Elea SPO2;Elea Data Centers;Av. Marginal Direita Anchieta, 1241;09891;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo2/
Elea SPO3;Elea Data Centers;Al. Rio Negro, 530;06454;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo3/
Engetronics Brasilia;ENGETRONICS INTERNET DATACENTER;Setor Hoteleiro Norte, Qd 2 Bl H;70702905;https://www.datacentermap.com/brazil/brasilia/engetronics-brasilia/
Equinix RJ1;Equinix;Rua Voluntarios da Patria, 360, Botafogo;22270-010;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj1/
Equinix RJ2;Equinix;Estrada Adhemar Bebiano, 1380, Del Castilho;21051-070;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj2/
Equinix RJ3;Equinix;Rua Maria Soares Sendas, 6-B/2;25575-825;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj3/
Equinix SP1;Equinix;Rua Doutor Miguel Couto, 58, Centro;01008-010;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp1/
Equinix SP2;Equinix;Alameda Araguaia, 3641 Tamboré;06455-000;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp2/
Equinix SP3;Equinix;Av. Marcos Penteado de Ulhôa Rodrigues, 249;06543-001;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp3/
Equinix SP4;Equinix;Av. Ceci, 1900 - Res. Tambore, Tamboré;06460-120;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp4/
Equinix SP5x;Equinix;Av. Marcos Penteado de Ulhôa Rodrigues, 888;06543-001;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp5x/
Equinix SP6;Equinix;Av. Marcos Penteado de Ulhoa Rodrigues, 1413;06544;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp6/
Everest Digital Data Center;Everest Digital;Av. Fued José Sebba, 700 - Térreo 2 - Jardim Goiás;74805-100;https://www.datacentermap.com/brazil/goiania/everest-digital-data-center/
EVO-CTA-01;Grupo EVO;105 R. Álvaro Maravalhas;81270750;https://www.datacentermap.com/brazil/curitiba/evo-cta-01/
FERENZ NETWORKS SERVIÇOS DE INTERNET LTDA;Ferenz Networks;Rua Governador Irineu Bornhausen, 473, Bairro Germânico;89825000;https://www.datacentermap.com/brazil/xaxim/ferenz-networks/
Cirion RIO1;Cirion;Av. Pedro II, 329;20910;https://www.datacentermap.com/brazil/rio-de-janeiro/gblx-rio/
GetTI Data Center;GetCard Provedora de Transações Eletrônicas;Av. Advogado Horacio Racanello Filho, 5570;87020-035;https://www.datacentermap.com/brazil/maringa/getcard-data-center/
GOX DATA CENTER LTDA;GOX DATA CENTER LTDA;Rua Zezé Lima, 212;35680045;https://www.datacentermap.com/brazil/itauna/gox-dc/
Vivo Curitiba Data Center;Vivo;Rua Francisco Nunes, 1395;80215-000;https://www.datacentermap.com/brazil/curitiba/gvt-curitiba/
Vivo Rio de Janeiro Data Center;Vivo;Rua Sara, 36;20220-090;https://www.datacentermap.com/brazil/rio-de-janeiro/gvt-rio-de-janeiro/
Vivo São Paulo - Guarulhos Data Center;Vivo;Rua Doutor Timóteo Penteado, 976;07094-000;https://www.datacentermap.com/brazil/sao-paulo/gvt-sao-paulo/
Hasest SIA;Hasest;SIA Trecho 05, Lotes 05/35;71205-050;https://www.datacentermap.com/brazil/brasilia/hasest-sia/
HEXAM2;HEXAM2;Rua Ceara, 356;20270-160;https://www.datacentermap.com/brazil/rio-de-janeiro/hexam2/
HostDime Brazil (João Pessoa);HostDime Global Corp;Av São Paulo, 1223;58020500;https://www.datacentermap.com/brazil/joao-pessoa/hostdime-brazil/
HostDime Brazil (São Paulo);HostDime Global Corp;Av. Eid Mansur, 666 - Parque Sao George;06708-070;https://www.datacentermap.com/brazil/sao-paulo/hostdime-so-paulo/
Hostweb Fortaleza;Hostweb;R. Vitóriano Borges, 455;60741-370;https://www.datacentermap.com/brazil/fortaleza/hostweb-fortaleza/
Hostzone CGE1;Hostzone;R. Paulo de Frontin, 75 - Centro;58400-310;https://www.datacentermap.com/brazil/campina-grande/hostzone-cge1/
HOTlink Internet Data Center;hotlink internet ltda;Rua Manoel Bezerra, 165;50610250;https://www.datacentermap.com/brazil/recife/hotlink-internet/
Hunti CTA1;Hunti Data;Av. Republica Argentina, 1505;80620010;https://www.datacentermap.com/brazil/curitiba/hunti-cta1/
IDC Centro;Reitec Fibra;SRTVS 701 Bloco O 2 andar;70340000;https://www.datacentermap.com/brazil/brasilia/idc-centro/
IDX Data Centers & IT Services;IDX Data Centers & IT Services;Q. 103 Sul Rua SO 5, 274 - Plano Diretor Sul; 77015;https://www.datacentermap.com/brazil/palmas/idx-data-centers-it-services/
IPXON Fortaleza;IPXON Networks;R. Quatorze, 1161 - Fortaleza;61919-120;https://www.datacentermap.com/brazil/fortaleza/ipxon-fortaleza/
